Alaska,32.80%
Alabama,43.10%
Arkansas,43.50%
Arizona,39.10%
California,33.30%
Colorado,31.30%
Connecticut,36.00%
District Of Columbia,31.80%
Delaware,41.30%
Florida,42.10%
Georgia,36.20%
Hawaii,39.10%
Iowa,36.90%
Idaho,36.20%
Illinois,36.20%
Indiana,39.90%
Kansas,38.00%
Kentucky,43.60%
Louisiana,42.10%
Massachusetts,34.60%
Maryland,37.10%
Maine,42.50%
Michigan,41.20%
Minnesota,33.90%
Missouri,40.50%
Mississippi,42.50%
Montana,39.00%
North Carolina,39.00%
North Dakota,34.60%
Nebraska,36.60%
New Hampshire,40.50%
New Jersey,34.60%
New Mexico,39.40%
Nevada,36.10%
New York,36.90%
Ohio,39.80%
Oklahoma,40.80%
Oregon,39.80%
Pennsylvania,39.80%
Rhode Island,38.30%
South Carolina,41.40%
South Dakota,35.30%
Tennessee,41.60%
Texas,34.80%
Utah,30.00%
Virginia,35.90%
Vermont,39.10%
Washington,35.10%
Wisconsin,36.50%
West Virginia,49.30%
Wyoming,36.40%